scope,path,name,size,mtime,sha1,url_count,post_key_count,read_status,read_note
madoyo,C:\Users\ding9\Desktop\madoyo\167246-daily-trend-AF3265449-2025-12-15-2026-01-13 (1).xlsx,167246-daily-trend-AF3265449-2025-12-15-2026-01-13 (1).xlsx,143708,2026-05-01 13:48:39,805859fc913ae1b5c09dbcd72123183c73061c31,0,0,ok,
madoyo,C:\Users\ding9\Desktop\madoyo\embedding_migration\missing_triples_report.xlsx,missing_triples_report.xlsx,309307,2026-03-18 01:02:26,13d91824943e5d845aea6a5f5b221641c285c229,2798,2797,ok,
madoyo,C:\Users\ding9\Desktop\madoyo\threads_links_report_0429_1721.xlsx,threads_links_report_0429_1721.xlsx,7540,2026-04-29 17:31:29,e47b71a8cd0c285a2279b429ed349a629153eee6,181,181,ok,
madoyo,C:\Users\ding9\Desktop\madoyo\threads_live_report_0424_0210.xlsx,threads_live_report_0424_0210.xlsx,5366,2026-04-24 02:10:21,56ce00166a6c1791fabfc88fd12de6ce4cce12ea,20,20,ok,
madoyo,C:\Users\ding9\Desktop\madoyo\데이터 참조\1.1차전처리.xlsx,1.1차전처리.xlsx,160786,2026-03-09 01:56:32,7494f760890fa4fe7e6f9ebf58b292f95e51be72,946,945,ok,
madoyo,C:\Users\ding9\Desktop\madoyo\데이터 참조\dotori.xlsx,dotori.xlsx,118383,2026-03-12 03:49:08,8d77e01de4bf07d7a4660a76d78aedde9809af90,612,612,ok,
madoyo,C:\Users\ding9\Desktop\madoyo\데이터 참조\otter.xlsx,otter.xlsx,46635,2026-03-09 01:56:29,267e93b5c6e74f26d1b2aa225bc9d510e47341ad,280,280,ok,
madoyo,C:\Users\ding9\Desktop\madoyo\데이터 참조\threads_live_report_0223_1338.xlsx,threads_live_report_0223_1338.xlsx,22535,2026-04-02 00:16:01,01aa5e4d0f584cd7bfaa557d9d964ba5be8b8b38,68,68,ok,
madoyo,C:\Users\ding9\Desktop\madoyo\데이터 참조\threads_live_report_0301_0147.xlsx,threads_live_report_0301_0147.xlsx,7537,2026-03-01 01:51:23,744c983933e1b71a8a30ac02a6aa31cd071bd993,11,11,ok,
madoyo,C:\Users\ding9\Desktop\madoyo\데이터 참조\threads_live_report_0302_0130.xlsx,threads_live_report_0302_0130.xlsx,10999,2026-03-02 01:42:07,e5a7cfa7d72a46bb8da393c86778a2659239c185,14,14,ok,
madoyo,C:\Users\ding9\Desktop\madoyo\데이터 참조\threads_live_report_0303_0224.xlsx,threads_live_report_0303_0224.xlsx,7775,2026-03-03 02:27:14,4e3cb91ff81e8d5af20e71b273878a35a6eb96ab,13,13,ok,
madoyo,C:\Users\ding9\Desktop\madoyo\데이터 참조\threads_live_report_0304_0206.xlsx,threads_live_report_0304_0206.xlsx,11265,2026-03-04 02:11:37,9ab1c2b795b8976d23e1bad637c640df9a070e7a,15,15,ok,
